# lambba_val.val 0.5625
#time (ps)      gradients (kcal/mol*lam)
0.000            5.1870353583
200.000            5.1268075030
400.000            3.2415631740
600.000            2.6735382169
800.000            2.7157238278
1000.000            -11.5808037993
1200.000            6.8749456779
1400.000            -6.9015819333
1600.000            11.4680320998
1800.000            -6.5916287795
2000.000            -6.7819299513
2200.000            -0.4285345401
2400.000            -5.3553176395
2600.000            7.4449742218
2800.000            3.4921051403
3000.000            -9.1920602664
3200.000            7.1844144693
3400.000            -11.9635305061
3600.000            1.5730037193
3800.000            5.8489631106
4000.000            -4.5007750785
4200.000            11.1519353474
4400.000            -9.3264753985
4600.000            2.8672636020
4800.000            -2.5395359018
5000.000            -7.6113676498
5200.000            -21.1155167813
5400.000            14.9459181556
5600.000            2.5838135277
5800.000            -7.6886174633
6000.000            2.6040672588
6200.000            -0.7490417709
6400.000            7.8490087825
6600.000            0.5339112651
6800.000            -1.8019822546
7000.000            12.5142222095
7200.000            -18.3315206619
7400.000            19.7362013312
7600.000            -12.7551754251
7800.000            10.9904386762
8000.000            -10.3295347799
8200.000            -4.8135660694
8400.000            17.2688787160
8600.000            -14.4957835377
8800.000            -3.8771404494
9000.000            -5.2887958068
9200.000            -1.4473859557
9400.000            8.1688121407
9600.000            -6.0495231824
9800.000            -8.3171961587
10000.000            3.2074819518
10200.000            5.1260740925
10400.000            -8.2951124829
10600.000            16.6344395795
10800.000            8.5011149901
11000.000            3.1040970331
11200.000            5.0027299858
11400.000            -4.3582372340
11600.000            16.0761781125
11800.000            -16.6846163338
12000.000            3.2678240900
12200.000            -1.1728074223
12400.000            -4.2864354835
12600.000            10.6472359531
12800.000            -6.7705644540
13000.000            -5.0762727487
13200.000            6.5174467922
13400.000            -20.4156849849
13600.000            -7.8696058073
13800.000            -1.2991759832
14000.000            -0.4347790905
14200.000            -3.7581413011
14400.000            -2.2458412721
14600.000            12.2793308178
14800.000            -1.3092268588
15000.000            -2.5470892452
15200.000            10.3946269667
15400.000            -7.0098420295
15600.000            0.2578068556
15800.000            5.4175059943
16000.000            -20.2251468503
16200.000            1.4878804373
16400.000            3.1358991428
16600.000            -6.7218924965
16800.000            4.4337948093
17000.000            -7.5863159497
17200.000            5.9181505673
17400.000            -6.6789821863
17600.000            12.0573999748
17800.000            -7.2122564123
18000.000            -9.2033390078
18200.000            4.3871726038
18400.000            4.2969206130
18600.000            -11.6226807477
18800.000            4.7706106319
19000.000            10.8141811083
19200.000            -3.6378421011
19400.000            -7.3083179648
19600.000            -3.4824768009
19800.000            7.9897450574
20000.000            -19.3726860454
20200.000            0.7047803755
20400.000            -7.8665200725
20600.000            4.4368451836
20800.000            -1.2646834977
21000.000            1.1844197677
21200.000            -13.6084007849
21400.000            3.6192756507
21600.000            -6.5547899591
21800.000            2.3026702648
22000.000            -6.5015488773
22200.000            6.4251188863
22400.000            5.5486066952
22600.000            6.3784655008
22800.000            4.4549896789
23000.000            -7.2301812605
23200.000            -9.2680411192
23400.000            -6.9033985295
23600.000            1.4201645042
23800.000            10.9461340451
24000.000            -8.5775439730
24200.000            -4.6933968490
24400.000            -1.9928917080
24600.000            1.7695606497
24800.000            1.9308058830
25000.000            -7.4801721519
25200.000            6.4638656249
25400.000            -5.1144365861
25600.000            3.1721770386
25800.000            4.0111082638
26000.000            0.1275255401
26200.000            8.1596342797
26400.000            -9.2187022739
26600.000            8.2736079309
26800.000            -7.6108060195
27000.000            6.6527398608
27200.000            6.4011695139
27400.000            -8.1335384845
27600.000            2.8563648491
27800.000            -7.8467986715
28000.000            0.3128387950
28200.000            3.9631161512
28400.000            2.4329863319
28600.000            3.4389860386
28800.000            -5.9385598957
29000.000            -4.5104822928
29200.000            3.1885521347
29400.000            -8.3342656044
29600.000            0.3091639123
29800.000            -5.8515590274
30000.000            2.9326281478
30200.000            4.9681061983
30400.000            -13.0060847549
30600.000            -4.6088473360
30800.000            2.2826893611
31000.000            -4.0972339590
31200.000            1.5296583072
31400.000            -6.1970061369
31600.000            -3.6492928066
31800.000            -2.3836481685
32000.000            4.4756918723
32200.000            -9.2739849954
32400.000            -6.1048189499
32600.000            6.3739833696
32800.000            -3.9361290948
33000.000            -6.3532526826
33200.000            4.2017557773
33400.000            1.8830719803
33600.000            9.5383164651
33800.000            -11.2863791807
34000.000            6.2908809426
34200.000            -7.4652634203
34400.000            -6.0628698334
34600.000            -1.2443617673
34800.000            -14.0949711611
35000.000            -5.8237358647
35200.000            4.5176724534
35400.000            -10.2309497752
35600.000            4.8377113749
35800.000            -12.0890493336
36000.000            5.5468123839
36200.000            -2.4428860162
36400.000            -0.0221499239
36600.000            2.2629481776
36800.000            -1.4430346047
37000.000            -3.9908967661
37200.000            5.1886076563
37400.000            1.0440519355
37600.000            -8.3180649037
37800.000            11.7264374240
38000.000            -14.0312733545
38200.000            15.2146919069
38400.000            -8.4223454362
38600.000            7.8780881386
38800.000            -4.9398006360
39000.000            -12.7696270723
39200.000            4.6499232185
39400.000            -2.0055418450
39600.000            -6.4765578411
39800.000            -4.7115379703
40000.000            -5.0546572583
40200.000            2.2680253962
40400.000            -2.8641310202
40600.000            1.3559102738
40800.000            -1.9879678215
41000.000            -14.8204344337
41200.000            1.4463873496
41400.000            -7.5447307573
41600.000            1.0469547120
41800.000            1.6531273887
42000.000            -2.3405111426
42200.000            2.5958794469
42400.000            -7.9859226387
42600.000            -5.1245538125
42800.000            5.9382152441
43000.000            1.8033194222
43200.000            -8.1475616299
43400.000            -2.7800982889
43600.000            -0.8695257912
43800.000            -1.5854088405
44000.000            -7.0354952688
44200.000            -1.4769675413
44400.000            0.7323173030
44600.000            -8.7057425675
44800.000            12.6065573500
45000.000            -4.6976127410
45200.000            -7.0746591236
45400.000            -2.2507435616
45600.000            -2.0294569538
45800.000            -6.0033629357
46000.000            0.8402681971
46200.000            -0.8256703636
46400.000            -1.6650198258
